0,CombatZoneResize,166,251,488,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneV,20,227,95,0,120,,
0,BoneV,32,227,95,0,120,,
0,BoneV,44,227,95,0,120,,
0,Platform,15,346,51,0,120,,
0.4,BoneVRepeat,133,350,40,0,140,52,12
1.2,Platform,-61,346,41,0,150,,
1.7,Platform,-61,320,55,0,180,,
0,BoneVRepeat,160,326,95,0,200,3,12
1,BoneV,133,257,45,0,210,,
0,BoneV,119,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
1.2,BoneVRepeat,128,286,155,0,230,1,12
0.3,BoneV,133,257,95,0,230,,
1.7,EndAttack,,,,,,,
